,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ponta do Sol,32.6667,-17.1,75.0,82,45,3.87,PT,1628223824
1,Zehdenick,52.9785,13.3317,63.88,85,100,3.38,DE,1628224179
2,Honiara,-9.4333,159.95,82.98,65,37,3.22,SB,1628223835
3,Busselton,-33.65,115.3333,66.04,66,0,14.97,AU,1628223844
4,Dingle,10.9995,122.6711,89.62,58,82,16.82,PH,1628223860
5,Campos Novos,-27.4017,-51.225,50.85,86,85,7.61,BR,1628224179
6,Portland,45.5234,-122.6762,75.18,70,75,1.99,US,1628223843
7,Avarua,-21.2078,-159.775,75.25,64,20,3.44,CK,1628223835
8,Albany,42.6001,-73.9662,66.81,87,4,3.58,US,1628223752
9,Faanui,-16.4833,-151.75,78.8,73,94,6.64,PF,1628223859
10,Politischer Bezirk Zwettl,48.6,15.1667,56.07,96,38,4.43,AT,1628224180
11,Saint Anthony,45.0205,-93.218,75.52,87,75,1.01,US,1628224180
12,Puerto Ayora,-0.7393,-90.3518,70.56,92,68,7.0,EC,1628223818
13,Cape Town,-33.9258,18.4232,53.11,100,0,4.61,ZA,1628223605
14,Puerto Escondido,15.85,-97.0667,78.78,84,100,5.64,MX,1628224061
15,Mataura,-46.1927,168.8643,49.48,82,79,4.34,NZ,1628223814
16,Elliot,-31.3333,27.85,46.99,50,39,5.75,ZA,1628224181
17,Hirara,24.8,125.2833,89.87,79,75,20.71,JP,1628223945
18,Alofi,-19.0595,-169.9187,76.89,69,81,4.61,NU,1628223822
19,Krasnosel'kup,65.7,82.4667,76.86,42,16,10.54,RU,1628224181
20,Wani,20.0667,78.95,81.61,74,87,13.44,IN,1628224182
21,Butaritari,3.0707,172.7902,83.17,65,9,11.27,KI,1628223824
22,Santa Vitória do Palmar,-33.5189,-53.3681,56.14,96,26,8.97,BR,1628224146
23,Balakhninskiy,58.0106,114.2769,64.11,80,100,3.0,RU,1628223948
24,Yar-Sale,66.8333,70.8333,66.69,63,100,7.0,RU,1628223884
